step 00990/01905 (51.97%) | loss: 3.427610 | lrm: 0.75 | dt: 876.07ms | tok/sec: 299,225 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 72 | total time: 14.96m | eta: 14.0m
step 00991/01905 (52.02%) | loss: 3.425318 | lrm: 0.75 | dt: 862.82ms | tok/sec: 303,820 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 72 | total time: 14.97m | eta: 13.9m
step 00992/01905 (52.07%) | loss: 3.431443 | lrm: 0.75 | dt: 894.84ms | tok/sec: 292,949 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 73 | total time: 14.99m | eta: 13.9m
step 00993/01905 (52.13%) | loss: 3.436270 | lrm: 0.75 | dt: 904.20ms | tok/sec: 289,919 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 73 | total time: 15.00m | eta: 13.9m
step 00994/01905 (52.18%) | loss: 3.442114 | lrm: 0.75 | dt: 923.31ms | tok/sec: 283,918 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 74 | total time: 15.02m | eta: 13.9m
step 00995/01905 (52.23%) | loss: 3.429138 | lrm: 0.75 | dt: 866.01ms | tok/sec: 302,702 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 74 | total time: 15.03m | eta: 13.9m
step 00996/01905 (52.28%) | loss: 3.420928 | lrm: 0.75 | dt: 870.13ms | tok/sec: 301,268 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 75 | total time: 15.05m | eta: 13.9m
step 00997/01905 (52.34%) | loss: 3.451563 | lrm: 0.75 | dt: 863.80ms | tok/sec: 303,479 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 75 | total time: 15.06m | eta: 13.9m
step 00998/01905 (52.39%) | loss: 3.422157 | lrm: 0.75 | dt: 875.08ms | tok/sec: 299,567 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 76 | total time: 15.08m | eta: 13.8m
step 00999/01905 (52.44%) | loss: 3.450968 | lrm: 0.75 | dt: 889.77ms | tok/sec: 294,620 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 76 | total time: 15.09m | eta: 13.8m
[2026-08-11 17:04:43] OK   tokenizer -> gdrive:/tokenizer
[2026-08-11 17:04:45] OK   base_checkpoints -> gdrive:/base_checkpoints
Step 01000 | Validation bpb: 1.050740
step 01000/01905 (52.49%) | loss: 3.450905 | lrm: 0.74 | dt: 889.58ms | tok/sec: 294,681 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 77 | total time: 15.10m | eta: 13.8m
step 01001/01905 (52.55%) | loss: 3.431252 | lrm: 0.74 | dt: 889.46ms | tok/sec: 294,722 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 77 | total time: 15.12m | eta: 13.8m
step 01002/01905 (52.60%) | loss: 3.408852 | lrm: 0.74 | dt: 924.71ms | tok/sec: 283,486 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 78 | total time: 15.14m | eta: 13.8m
step 01003/01905 (52.65%) | loss: 3.407433 | lrm: 0.74 | dt: 902.16ms | tok/sec: 290,572 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 78 | total time: 15.15m | eta: 13.8m
step 01004/01905 (52.70%) | loss: 3.405770 | lrm: 0.74 | dt: 896.74ms | tok/sec: 292,329 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 78 | total time: 15.17m | eta: 13.7m
step 01005/01905 (52.76%) | loss: 3.405516 | lrm: 0.74 | dt: 934.58ms | tok/sec: 280,493 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 79 | total time: 15.18m | eta: 13.7m
step 01006/01905 (52.81%) | loss: 3.392537 | lrm: 0.74 | dt: 871.08ms | tok/sec: 300,942 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 79 | total time: 15.20m | eta: 13.7m
step 01007/01905 (52.86%) | loss: 3.400070 | lrm: 0.74 | dt: 887.85ms | tok/sec: 295,256 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 80 | total time: 15.21m | eta: 13.7m
step 01008/01905 (52.91%) | loss: 3.402096 | lrm: 0.74 | dt: 864.72ms | tok/sec: 303,153 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 80 | total time: 15.22m | eta: 13.7m
step 01009/01905 (52.97%) | loss: 3.406584 | lrm: 0.74 | dt: 894.16ms | tok/sec: 293,173 | bf16_mfu: 0.00 | epoch: 1 pq: 5 rg: 81 | total time: 15.24m | eta: 13.7m
[2026-08-11 17:05:46] OK   tokenizer -> gdrive:/tokenizer
